Rank,Title,Developer,Version,Price (USD),Rating,Votes,Content Rating,Category,Min Installs,Max Installs,Updated,Rank Change (Day),Rank Change (Week),URL
368,SAMURAI vs ZOMBIES DEFENSE,Glu Mobile,3.4.0,$0.00 ,4.6,283593,Low Maturity,Arcade & Action,1000000,5000000,1/9/13,35,81,https://play.google.com/store/apps/details?id=com.glu.samuzombie
348,Dragon Kingdom (en),X6 Game,1.6.2e,$0.00 ,4.26,3442,Low Maturity,Arcade & Action,500000,1000000,12/19/12,14,81,https://play.google.com/store/apps/details?id=cn.x6game.dragonkingdomEn
344,Devil's Attorney,Senri AB,1.0.3,$2.99 ,4.43,2307,Medium Maturity,Brain & Puzzle,100000,500000,1/5/13,7,17,https://play.google.com/store/apps/details?id=com.senri.da
347,Osmos HD,Hemisphere Games,Varies with device,$2.99 ,4.81,39844,Everyone,Arcade & Action,500000,1000000,1/23/13,8,29,https://play.google.com/store/apps/details?id=com.hemispheregames.osmos
340,ROM Toolbox Pro,JRummy Apps Inc.,5.5.1,$4.99 ,4.75,14482,Everyone,Tools,100000,500000,11/20/12,-3,16,https://play.google.com/store/apps/details?id=com.jrummy.liberty.toolboxpro
333,Galaxy Empire,GAMEVIL Inc.,1.0.6,$0.00 ,4.32,8468,Low Maturity,Arcade & Action,500000,1000000,1/23/13,22,-7,https://play.google.com/store/apps/details?id=com.gamevil.galaxyempire.google
343,ePSXe for Android,epsxe software s.l.,1.8.4,$3.75 ,4.28,1268,Everyone,Arcade & Action,50000,100000,1/5/13,-2,48,https://play.google.com/store/apps/details?id=com.epsxe.ePSXe
346,Extreme Road Trip 2,Roofdog Games,1.8,$0.00 ,4.64,28878,Everyone,Arcade & Action,1000000,5000000,1/25/13,0,-51,https://play.google.com/store/apps/details?id=ca.roofdog.roadtrip2
345,Fruit Ninja,Halfbrick Studios,1.7.6,$1.22 ,4.26,37027,Low Maturity,Arcade & Action,1000000,5000000,3/23/12,-4,-5,https://play.google.com/store/apps/details?id=com.halfbrick.fruitninja
349,Flow Free: Bridges,Big Duck Games LLC,1.1,$0.00 ,4.7,9136,Everyone,Brain & Puzzle,1000000,5000000,1/23/13,5,16,https://play.google.com/store/apps/details?id=com.bigduckgames.flowbridges
339,Tiger Woods PGA TOURÂ® 12,Electronic Arts Inc,1.1.42,$2.99 ,2.97,469,Everyone,Sports Games,10000,50000,1/26/13,-12,-72,https://play.google.com/store/apps/details?id=com.ea.twpgatour12_NA
371,Scarface,Fuse Powered Inc.,2.1.0,$0.00 ,4.21,10742,High Maturity,Casual,1000000,5000000,12/4/12,29,-22,https://play.google.com/store/apps/details?id=com.hotheadgames.google.free.scarface
357,iPhone Messages,BarleyStudio,1.24,$2.96 ,3.65,870,Everyone,Tools,10000,50000,1/29/13,5,35,https://play.google.com/store/apps/details?id=com.iphonestyle.mms
341,CONTRACT KILLER ZOMBIES 2,Glu Mobile,1.1.1,$0.00 ,4.66,48102,High Maturity,Arcade & Action,1000000,5000000,1/15/13,-13,53,https://play.google.com/store/apps/details?id=com.glu.ckzombies2
354,Wheres My Droid,Alienman Tech,4.1.1,$0.00 ,4.6,79594,Low Maturity,Tools,10000000,50000000,11/2/12,1,2,https://play.google.com/store/apps/details?id=com.alienmanfc6.wheresmyandroid
350,Cartoon Wars,GAMEVIL Inc.,1.0.7,$0.00 ,4.77,285472,Low Maturity,Arcade & Action,10000000,50000000,1/4/13,3,53,https://play.google.com/store/apps/details?id=com.gamevil.cartoonwars.one.global
376,5th Grader?Â® & Friends,Ludia Inc.,1.0.4,$0.00 ,4.5,5307,Medium Maturity,Casual,100000,500000,1/31/13,16,0,https://play.google.com/store/apps/details?id=com.ludia.FifthGrader.free
361,"Casino Live - Slots, Blackjack",NuriGames Inc.,1.06,$0.00 ,4.39,521,Medium Maturity,Cards & Casino,100000,500000,1/15/13,-5,-92,https://play.google.com/store/apps/details?id=com.nurigames.casinolive
356,Coach's Eye,TechSmith Corporation,Varies with device,$4.99 ,4.48,475,Low Maturity,Sports,10000,50000,1/22/13,-3,-34,https://play.google.com/store/apps/details?id=com.techsmith.apps.coachseye
403,GyroSpace 3D Live Wallpaper,Opotech,1.0.5,$1.63 ,4.67,1044,Everyone,Personalization,10000,50000,1/10/13,76,71,https://play.google.com/store/apps/details?id=opotech.starfieldLWP
373,Zombie Highway,Auxbrain Inc,1.4,$0.99 ,4.6,2609,Medium Maturity,Arcade & Action,50000,100000,12/11/12,23,65,https://play.google.com/store/apps/details?id=com.auxbrain.zombie_highway
369,HotSchedules,HotSchedules,1.1.19,$2.99 ,3.25,1983,Everyone,Productivity,100000,500000,8/9/12,13,8,https://play.google.com/store/apps/details?id=com.tdr3.hs.android
359,Mobile Security & Antivirus,Trend Micro,2.6.2,$0.00 ,4.29,2965,Low Maturity,Tools,100000,500000,1/31/13,-3,33,https://play.google.com/store/apps/details?id=com.trendmicro.tmmspersonal
374,Root Explorer (File Manager),Speed Software,2.21.1,$3.99 ,4.76,18316,Everyone,Productivity,500000,1000000,8/12/12,17,27,https://play.google.com/store/apps/details?id=com.speedsoftware.rootexplorer
365,GUN ZOMBIE : HELLGATE,PNIX Games,3.2,$0.00 ,4.61,78060,Medium Maturity,Arcade & Action,1000000,5000000,1/10/13,10,24,https://play.google.com/store/apps/details?id=com.pnixgames.gunzombieHellGate
355,Tiny FarmÂ®,Com2uS,1.03.00,$0.00 ,4.42,284257,Everyone,Casual,5000000,10000000,1/24/13,-9,-22,https://play.google.com/store/apps/details?id=com.com2us.tinyfarm.normal.freefull.google.global.android.common
363,GrooVe IP,snrb Labs,1.3.4,$4.99 ,4.19,3255,Everyone,Communication,50000,100000,11/19/12,-7,6,https://play.google.com/store/apps/details?id=com.gvoip
391,Truck GPS Route - Subscription,TeleType,1.2.10.1,$0.00 ,4.3,33,Low Maturity,Transportation,5000,10000,1/28/13,13,19,https://play.google.com/store/apps/details?id=com.teletype.smarttruckroute
372,BLOOD & GLORY: LEGEND,Glu Mobile,2.0.2,$0.00 ,4.69,159421,High Maturity,Arcade & Action,1000000,5000000,11/9/12,-16,-19,https://play.google.com/store/apps/details?id=com.glu.gladiator2
393,Magnus Ignis,GREE Inc,1.0.4,$0.00 ,4.77,2405,Low Maturity,Arcade & Action,10000,50000,1/25/13,-26,-54,https://play.google.com/store/apps/details?id=net.gree.android.pf.greeapp57814a
367,BeyondPod Unlock Key,BeyondPod Team,1.0.2,$6.99 ,4.64,2428,Everyone,Libraries & Demo,100000,500000,1/10/13,-2,-33,https://play.google.com/store/apps/details?id=mobi.beyondpod.unlockkey
337,SuperSU Pro,Chainfire,1,$2.49 ,4.83,1307,Low Maturity,Tools,50000,100000,3/9/12,-102,,https://play.google.com/store/apps/details?id=eu.chainfire.supersu.pro
